COUNTRY,Year,Comm_Bank_Loan_Accounts_1000,Mobile_Accounts_1000_Adults,Comm_Bank_Loans_GDP,Treatment_Active
Kenya,2008.0,,230.9999856376928,20.09421545882649,0
Kenya,2009.0,,390.8720568578297,19.70819511532493,0
Kenya,2010.0,,701.3093940142378,21.9052544445456,0
Kenya,2011.0,82.28626803769104,793.4020829957037,24.86333880000326,0
Kenya,2012.0,82.25932010720834,844.3811207607738,24.35794830842711,1
Kenya,2013.0,119.0442283862951,984.8898816903265,29.45842951932585,1
Kenya,2014.0,164.093377862221,952.5972585457284,32.70126500541033,1
Kenya,2015.0,226.3279091424285,1158.559549581526,33.80821771594775,1
Kenya,2016.0,277.5534268743979,1241.796459624333,32.46697835096346,1
Kenya,2017.0,245.0786164984895,1288.311953243264,30.29752306127616,1
Kenya,2018.0,240.1911411943973,1595.295049793202,33.49913889268189,1
Malawi,2008.0,,,7.980108290588408,0
Malawi,2009.0,,,9.034030078599574,0
Malawi,2010.0,,,9.43658761119862,0
Malawi,2011.0,16.93575282168184,,11.24804815201271,0
Malawi,2012.0,18.66201479641551,21.94242908943491,11.89307210299606,0
Malawi,2013.0,20.25130767061823,83.57002922317994,9.481301763331698,0
Malawi,2015.0,21.71201183554436,,9.16807426992178,0
Malawi,2016.0,39.69825280244185,369.4897751825786,7.903772517637161,0
Malawi,2017.0,14.50524872370494,458.8175484099921,6.869540750108867,0
Malawi,2018.0,13.57040302814961,578.9366670050614,7.089208591996319,0
Rwanda,2008.0,1.823624355837175,,13.41892640720085,0
Rwanda,2009.0,3.361843894714776,,10.97945373174229,0
Rwanda,2010.0,6.801170781626336,33.66249644439881,9.793628940929572,0
Rwanda,2011.0,8.973459165078289,104.6028163007403,10.6426361022963,0
Rwanda,2012.0,10.27993368071853,228.9704823247925,12.79655465759251,0
Rwanda,2013.0,14.65558079535338,392.2427845371749,13.13583206433118,0
Rwanda,2014.0,34.31236572503039,973.2675955626275,14.25304883555364,0
Rwanda,2015.0,35.32911483133802,1118.666353103711,16.34622529700553,0
Rwanda,2016.0,29.28477883971505,1380.927369532942,16.63526173531205,0
Rwanda,2017.0,19.68414496328002,1250.930519083408,16.80115405917351,1
Rwanda,2018.0,27.18549643240343,1480.061700236297,17.71938335816616,1
Uganda,2008.0,,,8.80681322464945,0
Uganda,2009.0,,34.87692274256856,8.234755518947761,0
Uganda,2010.0,18.89467481541979,102.8970958761054,10.15675319615824,0
Uganda,2011.0,20.14748208499174,170.2625169761892,10.04733972897091,0
Uganda,2012.0,19.59800782476874,507.3125307245586,10.04716197662682,0
Uganda,2013.0,19.79405568355967,787.6776167698368,9.91197645189311,0
Uganda,2014.0,22.64307085178368,1002.985523077919,10.41837130032874,0
Uganda,2015.0,39.25339786755474,1082.808968839223,11.07397761063764,0
Uganda,2016.0,36.14181193376088,1060.156607920688,11.09938272187615,1
Uganda,2017.0,32.24666329291266,1066.659235407842,10.65214175621998,1
Uganda,2018.0,74.35796591668259,1096.681864652875,10.59317441459094,1
Zambia,2008.0,,,12.0523137468258,0
Zambia,2009.0,17.56701893691266,1.678050621862563,10.39738041627244,0
Zambia,2010.0,18.07183009237018,12.7918592100134,9.426603622213108,0
Zambia,2011.0,19.66703701957183,54.85356112499738,10.50526360929563,0
Zambia,2012.0,26.76278972984857,174.2067658576455,12.65811239000739,0
Zambia,2013.0,36.64981913177269,298.831280781547,12.54231600313629,0
Zambia,2014.0,36.48443331306766,554.4962673868478,12.96837818295931,0
Zambia,2015.0,32.26988023639047,546.9509611010199,14.28500756488686,0
Zambia,2016.0,23.86695387981671,683.7327330891571,10.78954538300283,0
Zambia,2017.0,23.26669415760408,1209.383095718574,9.854142029325914,0
Zambia,2018.0,21.35762334831338,1385.648878807451,10.53513297584168,0
