COUNTRY,Year,Comm_Bank_Loan_Accounts_1000,Mobile_Accounts_1000_Adults,Comm_Bank_Loans_GDP,Treatment_Active,GDP_Growth,Inflation
Kenya,2008.0,,230.9999856376928,20.09421545882649,0,0.232282744812977,26.2398166445063
Kenya,2009.0,,390.8720568578297,19.70819511532493,0,3.30693981631089,9.23412592394652
Kenya,2010.0,,701.3093940142378,21.9052544445456,0,8.05847360290906,3.96138889115385
Kenya,2011.0,82.28626803769104,793.4020829957037,24.86333880000326,0,5.1211061197056,14.0224913014704
Kenya,2012.0,82.25932010720834,844.3811207607738,24.35794830842711,1,4.56867961444982,9.37777003547598
Kenya,2013.0,119.0442283862951,984.8898816903264,29.45842951932585,1,3.7978483925754,5.71749357037733
Kenya,2014.0,164.093377862221,952.5972585457284,32.70126500541033,1,5.02011100232484,6.87815499275949
Kenya,2015.0,226.3279091424285,1158.559549581526,33.80821771594775,1,4.96772112759767,6.58215429284779
Kenya,2016.0,277.5534268743979,1241.796459624333,32.46697835096346,1,4.21351706814744,6.29724953814625
Kenya,2017.0,245.0786164984895,1288.311953243264,30.29752306127616,1,3.83795817364721,8.00564967709945
Kenya,2018.0,240.1911411943973,1595.295049793202,33.49913889268189,1,5.64794640709219,4.6898064677633
Malawi,2008.0,,,7.980108290588408,0,7.63973639944591,8.71260186609043
Malawi,2009.0,,,9.034030078599574,0,8.3281098524038,8.42204427696655
Malawi,2010.0,,,9.43658761119862,0,6.87406585416142,7.41159092883827
Malawi,2011.0,16.93575282168184,,11.24804815201271,0,4.93266999813729,7.6228226284852
Malawi,2012.0,18.66201479641551,21.94242908943491,11.89307210299606,0,1.90000000072909,21.2712650013779
Malawi,2013.0,20.25130767061823,83.57002922317994,9.481301763331698,0,5.41034999817167,27.2833333333334
Malawi,2015.0,21.71201183554436,,9.16807426992178,0,2.80000000003355,21.8673475542553
Malawi,2016.0,39.69825280244185,369.4897751825786,7.903772517637161,0,2.49999999914311,21.7111132136499
Malawi,2017.0,14.50524872370494,458.8175484099921,6.869540750108867,0,4.00000000089172,11.5433939188771
Malawi,2018.0,13.57040302814961,578.9366670050614,7.089208591996319,0,4.35356471619211,12.420178108921
Rwanda,2008.0,1.823624355837175,,13.41892640720085,0,11.1612473247323,15.4382138709255
Rwanda,2009.0,3.361843894714776,,10.97945373174229,0,6.24825750620508,12.9443978401712
Rwanda,2010.0,6.801170781626336,33.66249644439881,9.793628940929572,0,7.33465645006753,-0.246128693436934
Rwanda,2011.0,8.973459165078289,104.6028163007403,10.6426361022963,0,7.95838869847094,3.0801706924026
Rwanda,2012.0,10.27993368071853,228.9704823247925,12.79655465759251,0,8.64150815836322,10.2710182318876
Rwanda,2013.0,14.65558079535338,392.2427845371749,13.13583206433118,0,4.71984856978263,5.92426867984854
Rwanda,2014.0,34.31236572503039,973.2675955626275,14.25304883555364,0,6.16716615166932,2.35449052820358
Rwanda,2015.0,35.32911483133802,1118.666353103711,16.34622529700553,0,8.8568555974538,2.52850284192421
Rwanda,2016.0,29.28477883971505,1380.927369532942,16.63526173531205,0,5.97074525431094,7.17434301982009
Rwanda,2017.0,19.68414496328002,1250.930519083408,16.80115405917351,1,3.91817093628465,8.27953672260832
Rwanda,2018.0,27.18549643240343,1480.061700236297,17.71938335816616,1,8.51646722592409,-0.311210160390699
Uganda,2008.0,,,8.80681322464945,0,8.70875190154499,12.0508555482886
Uganda,2009.0,,34.87692274256856,8.234755518947761,0,6.80151734860395,13.0172561889185
Uganda,2010.0,18.89467481541979,102.8970958761054,10.15675319615824,0,5.63761163749757,3.97655288478168
Uganda,2011.0,20.14748208499174,170.2625169761892,10.04733972897091,0,9.3916554927176,16.5643496174515
Uganda,2012.0,19.59800782476874,507.3125307245586,10.04716197662682,0,3.83745560605229,12.6790377224659
Uganda,2013.0,19.79405568355967,787.6776167698368,9.91197645189311,0,3.58690582623025,4.90520875694557
Uganda,2014.0,22.64307085178368,1002.985523077919,10.41837130032874,0,5.10630732539796,3.07570668958641
Uganda,2015.0,39.25339786755474,1082.808968839223,11.07397761063764,0,5.18785986002466,5.58968606251725
Uganda,2016.0,36.14181193376088,1060.156607920688,11.09938272187615,1,4.78100029254482,5.70637504616212
Uganda,2017.0,32.24666329291266,1066.659235407842,10.65214175621998,1,3.13140551723596,5.20971705914209
Uganda,2018.0,74.35796591668259,1096.681864652875,10.59317441459094,1,6.30392378262997,2.61601190952274
Zambia,2008.0,,,12.0523137468258,0,7.77389581542363,12.4455793463192
Zambia,2009.0,17.56701893691266,1.678050621862563,10.39738041627244,0,9.2203484058663,13.3952546325895
Zambia,2010.0,18.07183009237018,12.7918592100134,9.426603622213108,0,10.2982233241213,8.50176133365265
Zambia,2011.0,19.66703701957183,54.85356112499738,10.50526360929563,0,5.56925219263019,6.4293968107234
Zambia,2012.0,26.76278972984857,174.2067658576455,12.65811239000739,0,7.59738104901994,6.57589970757698
Zambia,2013.0,36.64981913177269,298.831280781547,12.54231600313629,0,5.05753695047252,6.97767605490307
Zambia,2014.0,36.48443331306766,554.4962673868478,12.96837818295931,0,4.69328316376705,7.80687553566333
Zambia,2015.0,32.26988023639047,546.9509611010199,14.28500756488686,0,2.92037511217961,10.1105928909618
Zambia,2016.0,23.86695387981671,683.7327330891571,10.78954538300283,0,3.75510031678988,17.8697300795268
Zambia,2017.0,23.26669415760408,1209.383095718574,9.854142029325914,0,3.52586277149926,6.57731154205644
Zambia,2018.0,21.35762334831338,1385.648878807451,10.53513297584168,0,4.03449389667165,7.4945719272852
